70,82,93,66
76,79,88,66
76,76,85,58
75,70,83,55
70,72,82,55
73,67,82,53
75,72,77,58
63,65,87,63
64,56,84,74
59,63,79,58
61,67,72,69
55,70,78,60
64,60,75,63
60,64,76,68
51,69,71,49
70,71,81,54
66,64,78,69
70,61,83,69
66,82,79,74
65,67,82,58
74,70,82,58
66,75,88,70
74,64,86,56
71,72,78,64
69,68,73,80
71,65,82,54
58,66,78,74
71,63,76,82
68,71,90,58
65,62,86,72
68,66,73,70
61,69,76,76
62,73,96,63
73,76,64,76
71,62,88,60
63,63,81,77
71,66,74,59
67,59,83,59
66,66,84,65
62,64,87,71
68,69,86,53
